Stop_Code_LBSL,Bus_Stop_Code,Naptan_Atco,Stop_Name,Location_Easting,Location_Northing,Heading,Stop_Area,Virtual_Bus_Stop,Latitude,Longitude
1000,91532,490000266G,WESTMINSTER STATION <> / PARLIAMENT SQUARE,530171.0,179738.0,177.0,0K08,0.0,-0.1259881863671396,51.50159700396406
10001,72689,490013793E,TREVOR CLOSE,515781.0,174783.0,78.0,NB16,0.0,-0.3348309198683003,51.46019101494074
10002,48461,490000108F,HIGHBURY CORNER,531614.0,184603.0,5.0,C902,0.0,-0.10339503278725329,51.54498248694318
10003,77150,490000108B,HIGHBURY & ISLINGTON STATION <> #,531551.0,184803.0,127.0,C903,0.0,-0.10422831282176377,51.54679445592468
10004,48037,490012451S,ST MARY MAGDALENE CHURCH,531365.0,184986.0,141.0,C904,0.0,-0.10684087438564267,51.54848227072173
10005,57538,490012451N,ST MARY MAGDALENE CHURCH,531328.0,185009.0,322.0,C904,0.0,-0.10736559929034006,51.54869756425302
10010,48458,490000114Y,HOLLOWAY ROAD STATION <>,531036.0,185378.0,141.0,C703,0.0,-0.11143706890193565,51.552081403415805
10011,58713,490000114U,HOLLOWAY ROAD STATION <>,530939.0,185465.0,321.0,C703,0.0,-0.11280294382778791,51.55288572802096
10014,71829,490009485R,LYNWOOD ROAD,517950.0,182729.0,99.0,QT08,0.0,-0.3009715283788372,51.53115850555125
10015,54595,490009485Q,LYNWOOD ROAD,517907.0,182704.0,278.0,QT08,0.0,-0.3015995050089861,51.53094279106022
10016,71358,490003803W,WOOLWICH ROAD / BEDONWELL ROAD,548180.0,177996.0,254.0,E609,0.0,0.1325594529464748,51.48151462292733
10017,53343,490003803E,WOOLWICH ROAD / BEDONWELL ROAD,548036.0,177997.0,88.0,E609,0.0,0.13048765943049834,51.48156128183098
10019,54840,490011348E,QUEENS ROAD,521827.0,168125.0,83.0,K306,0.0,-0.2501345417953527,51.399085442882466
10023,47747,490012751E,ST JOSEPH'S CHURCH,521080.0,168163.0,106.0,K302,0.0,-0.26085432655048146,51.39958674070773
10024,55564,490012751W,ST JOSEPH'S CHURCH,521017.0,168169.0,286.0,K302,0.0,-0.26175746423303126,51.399654095714205
10028,54775,490014411W,ELM ROAD / NEW MALDEN BAPTIST CHURCH,520697.0,168304.0,294.0,K301,0.0,-0.2663093539490374,51.40093551682983
10031,54086,490006079E,ARCHDALE PLACE,519927.0,168691.0,124.0,K415,0.0,-0.2772424033289027,51.404576852358275
10032,48984,490003361W,CALIFORNIA ROAD,520074.0,168585.0,295.0,K415,0.0,-0.27516590953349107,51.40359310271477
10037,55215,490014286E,WATERS ROAD,519527.0,168967.0,130.0,K206,0.0,-0.28289736624106104,51.40714177548898
10038,49132,490004703W,CAMBRIDGE GROVE,519254.0,169156.0,299.0,K205,0.0,-0.2867570319862959,51.40889784376776
10041,48178,490014039E,VICARAGE HOUSE,518954.0,169281.0,101.0,K202,0.0,-0.29102647643750046,51.410084239763904
1005,73736,490001237G,RAYNES PARK STATION #,523241.0,169249.0,248.0,LG02,0.0,-0.22942866413683177,51.40888206037925
1007,52849,490012452W,KINGS ROAD,518686.0,175064.0,278.0,M814,0.0,-0.2929416251442688,51.46211547597407
1008,52652,490012452SH,ST MARY'S GROVE,518796.0,175063.0,103.0,M814,0.0,-0.2913593005176584,51.462083435118195
1010,55430,490005340K,CLAPTON POND,534857.0,185908.0,66.0,D908,0.0,-0.056156664695835516,51.55594457117798
10107,76125,3700083,CEDAR WAY,500333.0,178601.0,303.0,6Z11,0.0,-0.556025528328464,51.49745558887794
1011,54763,490009035E,CLAPTON POND,534887.0,186004.0,168.0,D902,0.0,-0.05568740907974873,51.5568000801188
10111,77093,3700085,DITTON PARK ROAD,500753.0,178316.0,124.0,6Z10,0.0,-0.5500584968606732,51.49481922628696
