name,datetime,temp,humidity,precip,windspeed,sealevelpressure,conditions
London,2023-01-14 23:00:00,6.6,71.48,0.0,14.6,1000.2,Partially cloudy
London,2023-01-14 22:00:00,7.0,69.55,0.0,15.0,1000.3,Partially cloudy
London,2023-01-14 21:00:00,7.1,69.06,0.004,16.6,1000.2,"Rain, Partially cloudy"
London,2023-01-14 20:00:00,7.5,66.26,0.0,15.2,1000.0,Partially cloudy
London,2023-01-14 19:00:00,7.8,66.78,0.0,17.5,999.6,Partially cloudy
London,2023-01-14 18:00:00,8.3,65.96,0.0,17.9,999.4,Partially cloudy
London,2023-01-14 17:00:00,8.8,67.49,0.0,16.0,998.4,Partially cloudy
London,2023-01-14 16:00:00,9.3,78.8,0.0,15.9,998.0,Overcast
London,2023-01-14 15:00:00,11.1,77.45,0.0,19.6,996.4,Partially cloudy
London,2023-01-14 14:00:00,11.3,81.81,0.0,18.3,995.5,Partially cloudy
London,2023-01-14 13:00:00,11.6,86.97,0.996,18.4,995.3,"Rain, Overcast"
London,2023-01-14 12:00:00,12.8,87.68,0.003,22.6,995.2,"Rain, Overcast"
London,2023-01-14 11:00:00,12.5,87.66,0.2,20.9,995.2,"Rain, Overcast"
London,2023-01-14 10:00:00,11.6,90.54,0.002,21.8,995.5,"Rain, Overcast"
London,2023-01-14 09:00:00,11.3,90.52,0.216,21.8,996.3,"Rain, Overcast"
London,2023-01-14 08:00:00,10.1,90.43,0.201,19.6,997.5,"Rain, Overcast"
London,2023-01-14 07:00:00,9.8,89.18,1.994,20.9,999.3,"Rain, Overcast"
London,2023-01-14 06:00:00,9.6,92.86,1.996,20.9,1001.2,"Rain, Overcast"
London,2023-01-14 05:00:00,9.0,92.21,1.996,16.7,1003.3,"Rain, Overcast"
London,2023-01-14 04:00:00,8.8,92.2,1.002,15.3,1005.5,"Rain, Overcast"
London,2023-01-14 03:00:00,8.5,92.17,1.0,12.8,1008.1,"Rain, Overcast"
London,2023-01-14 02:00:00,8.5,84.91,0.002,11.7,1009.6,"Rain, Overcast"
London,2023-01-14 01:00:00,8.5,80.33,0.0,10.7,1011.3,Overcast
London,2023-01-14 00:00:00,8.0,80.26,0.0,9.9,1012.6,Partially cloudy
London,2023-01-13 23:00:00,7.3,78.51,0.0,9.4,1014.0,Partially cloudy
London,2023-01-13 22:00:00,7.0,77.35,0.0,8.6,1014.5,Partially cloudy
London,2023-01-13 21:00:00,7.0,76.26,0.0,9.5,1015.2,Clear
London,2023-01-13 20:00:00,7.3,76.84,0.0,10.2,1015.5,Clear
London,2023-01-13 19:00:00,7.8,73.23,0.0,11.6,1015.0,Clear
London,2023-01-13 18:00:00,8.5,68.85,0.0,11.4,1014.8,Clear
London,2023-01-13 17:00:00,9.3,65.24,0.0,12.2,1014.1,Partially cloudy
London,2023-01-13 16:00:00,10.0,63.14,0.0,16.6,1012.9,Partially cloudy
London,2023-01-13 15:00:00,10.5,61.06,0.0,21.0,1011.6,Partially cloudy
London,2023-01-13 14:00:00,10.3,62.76,0.0,24.5,1010.5,Overcast
London,2023-01-13 13:00:00,10.6,60.67,0.0,24.5,1010.0,Partially cloudy
London,2023-01-13 12:00:00,10.1,61.85,0.0,26.6,1009.5,Overcast
London,2023-01-13 11:00:00,9.6,63.93,0.0,23.5,1008.5,Partially cloudy
London,2023-01-13 10:00:00,9.1,68.0,0.0,21.7,1007.5,Clear
London,2023-01-13 09:00:00,8.1,72.75,0.0,20.4,1006.4,Clear
London,2023-01-13 08:00:00,8.1,71.74,0.0,22.9,1005.2,Clear
London,2023-01-13 07:00:00,8.0,73.77,0.0,19.4,1004.3,Partially cloudy
London,2023-01-13 06:00:00,8.0,70.72,0.0,23.7,1003.5,Clear
London,2023-01-13 05:00:00,7.8,71.68,0.0,23.3,1003.1,Clear
London,2023-01-13 04:00:00,8.1,69.26,0.0,23.1,1003.0,Partially cloudy
London,2023-01-13 03:00:00,8.3,68.33,0.0,20.8,1003.0,Partially cloudy
London,2023-01-13 02:00:00,8.1,70.24,0.0,21.5,1002.6,Clear
London,2023-01-13 01:00:00,8.6,69.36,0.0,20.5,1002.4,Clear
London,2023-01-13 00:00:00,8.5,71.32,0.0,19.6,1002.5,Clear
London,2023-01-12 23:00:00,8.6,70.85,0.0,17.5,1003.1,Clear
London,2023-01-12 22:00:00,8.8,71.85,0.0,23.4,1003.5,Partially cloudy
London,2023-01-12 21:00:00,8.8,69.89,0.008,17.1,1003.3,"Rain, Partially cloudy"
London,2023-01-12 20:00:00,9.1,65.65,0.0,19.4,1003.3,Partially cloudy
London,2023-01-12 19:00:00,9.8,64.89,0.0,20.4,1003.3,Partially cloudy
London,2023-01-12 18:00:00,10.8,59.88,0.0,18.6,1003.0,Partially cloudy
London,2023-01-12 17:00:00,11.3,79.06,0.0,20.1,1002.1,Overcast
London,2023-01-12 16:00:00,11.6,84.63,1.997,15.2,1001.5,"Rain, Overcast"
London,2023-01-12 15:00:00,11.8,90.51,1.988,19.4,1001.8,"Rain, Overcast"
London,2023-01-12 14:00:00,12.6,85.9,0.0,18.7,1001.4,Overcast
London,2023-01-12 13:00:00,12.6,84.77,0.0,20.2,1002.2,Overcast
London,2023-01-12 12:00:00,12.1,87.6,0.398,19.2,1002.9,"Rain, Overcast"
London,2023-01-12 11:00:00,12.8,83.12,0.001,20.3,1003.5,"Rain, Overcast"
London,2023-01-12 10:00:00,12.3,86.46,0.0,20.7,1004.1,Overcast
London,2023-01-12 09:00:00,12.3,84.76,0.005,17.9,1004.1,"Rain, Overcast"
London,2023-01-12 08:00:00,12.1,84.74,0.0,17.5,1004.1,Overcast
London,2023-01-12 07:00:00,12.1,84.73,0.199,19.9,1003.3,"Rain, Overcast"
London,2023-01-12 06:00:00,11.6,88.72,0.201,21.1,1003.1,"Rain, Overcast"
London,2023-01-12 05:00:00,11.6,88.73,0.201,22.3,1003.1,"Rain, Overcast"
London,2023-01-12 04:00:00,11.8,87.56,0.201,23.0,1003.1,"Rain, Overcast"
London,2023-01-12 03:00:00,11.3,89.3,0.202,22.9,1003.1,"Rain, Overcast"
London,2023-01-12 02:00:00,11.1,88.69,0.599,24.5,1003.3,"Rain, Overcast"
London,2023-01-12 01:00:00,10.8,87.49,0.401,21.9,1004.0,"Rain, Overcast"
London,2023-01-12 00:00:00,10.8,81.77,0.2,20.4,1005.4,"Rain, Partially cloudy"
London,2023-01-11 23:00:00,10.3,80.02,0.0,16.4,1007.0,Partially cloudy
London,2023-01-11 22:00:00,10.1,81.66,0.0,18.9,1008.1,Partially cloudy
London,2023-01-11 21:00:00,10.0,79.44,0.004,17.8,1008.4,"Rain, Overcast"
London,2023-01-11 20:00:00,9.6,78.84,0.0,19.3,1008.6,Overcast
London,2023-01-11 19:00:00,9.3,77.71,0.0,19.3,1008.4,Partially cloudy
London,2023-01-11 18:00:00,8.3,81.4,0.0,19.6,1008.4,Partially cloudy
London,2023-01-11 17:00:00,8.1,84.25,1.001,17.9,1008.5,"Rain, Partially cloudy"
London,2023-01-11 16:00:00,8.8,86.1,0.407,16.3,1008.9,"Rain, Overcast"
London,2023-01-11 15:00:00,9.1,70.46,0.002,15.8,1009.0,"Rain, Partially cloudy"
London,2023-01-11 14:00:00,10.6,64.17,0.001,19.1,1009.5,"Rain, Partially cloudy"
London,2023-01-11 13:00:00,10.6,65.07,0.0,17.3,1009.9,Overcast
London,2023-01-11 12:00:00,10.3,65.46,0.0,18.4,1010.4,Clear
London,2023-01-11 11:00:00,9.6,71.03,0.0,17.1,1010.8,Clear
London,2023-01-11 10:00:00,8.5,79.21,0.0,13.8,1010.6,Clear
London,2023-01-11 09:00:00,7.8,80.23,0.001,12.8,1010.3,Rain
London,2023-01-11 08:00:00,7.6,83.62,0.0,13.6,1009.5,Partially cloudy
London,2023-01-11 07:00:00,8.0,83.07,0.0,15.0,1009.2,Clear
London,2023-01-11 06:00:00,8.1,84.25,0.0,12.3,1008.8,Clear
London,2023-01-11 05:00:00,8.3,84.29,0.0,11.3,1008.2,Clear
London,2023-01-11 04:00:00,8.8,83.18,0.0,13.4,1007.5,Clear
London,2023-01-11 03:00:00,9.1,81.52,0.0,13.0,1007.0,Partially cloudy
London,2023-01-11 02:00:00,9.6,79.91,0.0,14.6,1006.2,Clear
London,2023-01-11 01:00:00,10.6,78.98,0.0,15.6,1005.2,Partially cloudy
London,2023-01-11 00:00:00,10.6,81.7,0.001,14.2,1004.5,"Rain, Partially cloudy"
London,2023-01-10 23:00:00,12.0,90.5,0.795,17.8,1003.3,"Rain, Overcast"
London,2023-01-10 22:00:00,12.8,87.67,0.2,16.4,1002.2,"Rain, Overcast"
London,2023-01-10 21:00:00,12.5,92.4,0.605,17.6,1001.6,"Rain, Overcast"
London,2023-01-10 20:00:00,12.6,90.6,0.001,20.0,1002.1,"Rain, Overcast"
London,2023-01-10 19:00:00,12.6,88.84,0.001,19.3,1002.4,"Rain, Overcast"
London,2023-01-10 18:00:00,13.1,83.18,0.0,18.7,1002.6,Overcast
London,2023-01-10 17:00:00,13.0,82.6,0.0,17.8,1003.4,Overcast
London,2023-01-10 16:00:00,13.0,85.41,0.0,16.8,1004.3,Overcast
London,2023-01-10 15:00:00,13.1,84.86,0.199,18.6,1004.5,"Rain, Overcast"
London,2023-01-10 14:00:00,12.8,87.67,0.0,17.1,1005.0,Overcast
London,2023-01-10 13:00:00,10.8,95.45,0.001,13.8,1005.6,"Rain, Overcast"
London,2023-01-10 12:00:00,9.3,94.77,0.4,15.9,1007.1,"Rain, Overcast"
London,2023-01-10 11:00:00,8.5,93.43,1.0,15.5,1008.6,"Rain, Overcast"
London,2023-01-10 10:00:00,8.1,91.53,0.998,17.5,1009.7,"Rain, Overcast"
London,2023-01-10 09:00:00,7.8,91.49,1.998,15.8,1010.6,"Rain, Overcast"
London,2023-01-10 08:00:00,7.1,91.47,1.0,10.1,1012.0,"Rain, Partially cloudy"
London,2023-01-10 07:00:00,7.3,82.44,0.0,8.4,1013.1,Partially cloudy
London,2023-01-10 06:00:00,6.1,82.28,0.0,6.1,1013.7,Overcast
London,2023-01-10 05:00:00,5.0,81.55,0.0,5.2,1014.3,Partially cloudy
London,2023-01-10 04:00:00,5.1,83.31,0.0,8.2,1014.6,Partially cloudy
London,2023-01-10 03:00:00,4.8,83.87,0.0,9.0,1015.4,Partially cloudy
London,2023-01-10 02:00:00,4.8,82.11,0.0,7.1,1015.1,Partially cloudy
London,2023-01-10 01:00:00,4.8,80.93,0.0,6.8,1014.6,Clear
London,2023-01-10 00:00:00,4.9,80.91,0.0,9.1,1014.3,Clear
London,2023-01-09 23:00:00,5.1,79.23,0.0,10.1,1013.5,Clear
London,2023-01-09 22:00:00,5.6,78.2,0.0,10.4,1012.5,Clear
London,2023-01-09 21:00:00,5.8,76.59,0.0,12.0,1011.6,Clear
London,2023-01-09 20:00:00,6.6,70.47,0.0,9.9,1011.1,Clear
London,2023-01-09 19:00:00,6.5,71.95,0.0,10.6,1009.9,Clear
London,2023-01-09 18:00:00,7.3,68.11,0.0,14.7,1009.2,Partially cloudy
London,2023-01-09 17:00:00,7.5,68.64,0.0,10.9,1008.1,Partially cloudy
London,2023-01-09 16:00:00,7.5,68.64,0.0,11.8,1006.5,Overcast
London,2023-01-09 15:00:00,8.8,57.32,0.0,18.1,1005.1,Partially cloudy
London,2023-01-09 14:00:00,9.3,60.79,0.0,14.0,1003.4,Partially cloudy
London,2023-01-09 13:00:00,9.3,67.59,0.0,15.7,1002.5,Overcast
London,2023-01-09 12:00:00,9.1,72.95,0.0,15.0,1001.4,Partially cloudy
London,2023-01-09 11:00:00,7.8,78.55,0.0,16.0,1000.4,Partially cloudy
London,2023-01-09 10:00:00,6.8,85.28,0.0,14.8,999.1,Overcast
London,2023-01-09 09:00:00,5.8,88.22,0.0,11.4,998.1,Partially cloudy
London,2023-01-09 08:00:00,5.5,87.57,0.0,10.2,996.6,Clear
London,2023-01-09 07:00:00,5.4,90.05,0.0,11.4,995.7,Clear
London,2023-01-09 06:00:00,5.3,88.8,0.0,10.9,995.1,Clear
London,2023-01-09 05:00:00,5.6,91.35,0.0,11.7,994.2,Partially cloudy
London,2023-01-09 04:00:00,6.0,87.03,0.0,11.4,993.3,Clear
London,2023-01-09 03:00:00,6.6,87.08,0.0,13.4,992.3,Clear
London,2023-01-09 02:00:00,7.1,88.36,0.0,12.7,991.1,Partially cloudy
London,2023-01-09 01:00:00,7.1,90.2,0.0,10.0,989.9,Overcast
London,2023-01-09 00:00:00,7.0,90.81,0.001,6.8,988.5,"Rain, Overcast"
London,2023-01-08 23:00:00,6.8,85.91,0.0,9.0,988.4,Overcast
London,2023-01-08 22:00:00,6.8,82.96,0.002,11.0,989.2,"Rain, Partially cloudy"
London,2023-01-08 21:00:00,5.6,86.98,0.0,9.3,989.7,Partially cloudy
London,2023-01-08 20:00:00,5.8,88.86,0.0,9.8,990.3,Clear
London,2023-01-08 19:00:00,5.6,89.47,0.0,8.0,990.5,Clear
London,2023-01-08 18:00:00,6.6,84.1,0.213,13.6,990.3,"Rain, Partially cloudy"
London,2023-01-08 17:00:00,6.8,90.17,0.003,14.8,989.7,"Rain, Overcast"
London,2023-01-08 16:00:00,6.8,87.1,0.995,12.2,989.5,"Rain, Overcast"
London,2023-01-08 15:00:00,7.6,87.18,1.004,13.1,989.8,"Rain, Partially cloudy"
London,2023-01-08 14:00:00,8.2,85.45,2.983,14.2,990.2,"Rain, Overcast"
London,2023-01-08 13:00:00,7.9,85.99,0.206,13.9,991.1,"Rain, Overcast"
London,2023-01-08 12:00:00,9.6,82.73,0.409,16.5,992.3,"Rain, Overcast"
London,2023-01-08 11:00:00,10.1,78.94,0.01,13.4,993.3,"Rain, Overcast"
London,2023-01-08 10:00:00,8.3,87.23,0.0,12.9,993.6,Partially cloudy
London,2023-01-08 09:00:00,7.3,90.22,0.002,11.4,994.4,"Rain, Overcast"
London,2023-01-08 08:00:00,7.3,88.97,0.201,11.4,995.1,"Rain, Overcast"
London,2023-01-08 07:00:00,7.3,85.96,0.0,11.8,995.4,Partially cloudy
London,2023-01-08 06:00:00,6.8,88.93,0.399,10.4,995.6,"Rain, Partially cloudy"
London,2023-01-08 05:00:00,7.3,87.14,0.996,13.1,996.3,"Rain, Overcast"
London,2023-01-08 04:00:00,8.3,84.29,0.398,13.5,996.4,"Rain, Overcast"
London,2023-01-08 03:00:00,9.1,78.23,0.0,13.9,996.6,Partially cloudy
London,2023-01-08 02:00:00,8.6,84.32,0.001,14.0,996.6,"Rain, Overcast"
